Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q8TDI0,CHD5_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5),CHD5 KIAA0444,Homo sapiens (Human),1954
P0C843,CI014_HUMAN,reviewed,Putative uncharacterized protein encoded by LINC00032,LINC00032 C9orf14 NCRNA00032,Homo sapiens (Human),101
O76071,CIAO1_HUMAN,reviewed,Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39),CIAO1 WDR39,Homo sapiens (Human),339
Q96JB5,CK5P3_HUMAN,reviewed,CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27),CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553,Homo sapiens (Human),506
Q9UQC9,CLCA2_HUMAN,reviewed,"Calcium-activated chloride channel regulator 2 (EC 3.4.-.-) (Calcium-activated chloride channel family member 2) (hCLCA2) (Calcium-activated chloride channel protein 3) (CaCC-3) (hCaCC-3) [Cleaved into: Calcium-activated chloride channel regulator 2, 109 kDa form; Calcium-activated chloride channel regulator 2, 35 kDa form]",CLCA2 CACC3,Homo sapiens (Human),943
Q6UWK7,CJ099_HUMAN,reviewed,Secreted protein C10orf99 (Antimicrobial peptide-57) (AP-57) (Colon-derived SUSD2 binding factor) (CSBF),C10orf99 UNQ1833/PRO3446,Homo sapiens (Human),81
O96017,CHK2_HUMAN,reviewed,Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2),CHEK2 CDS1 CHK2 RAD53,Homo sapiens (Human),543
Q96EP1,CHFR_HUMAN,reviewed,E3 ubiquitin-protein ligase CHFR (EC 2.3.2.27) (Checkpoint with forkhead and RING finger domains protein) (RING finger protein 196) (RING-type E3 ubiquitin transferase CHFR),CHFR RNF196,Homo sapiens (Human),664
Q96M02,CJ090_HUMAN,reviewed,Centrosomal protein C10orf90 (Fragile-site associated tumor suppressor homolog),C10orf90 FATS,Homo sapiens (Human),699
O94983,CMTA2_HUMAN,reviewed,Calmodulin-binding transcription activator 2,CAMTA2 KIAA0909,Homo sapiens (Human),1202
Q9Y6Y1,CMTA1_HUMAN,reviewed,Calmodulin-binding transcription activator 1,CAMTA1 KIAA0833 MSTP023,Homo sapiens (Human),1673
Q96KP4,CNDP2_HUMAN,reviewed,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Carnosine dipeptidase II) (Epididymis secretory protein Li 13) (Glutamate carboxypeptidase-like protein 1) (Peptidase A),CNDP2 CN2 CPGL HEL-S-13 PEPA,Homo sapiens (Human),475
P02462,CO4A1_HUMAN,reviewed,Collagen alpha-1(IV) chain [Cleaved into: Arresten],COL4A1,Homo sapiens (Human),1669
O95727,CRTAM_HUMAN,reviewed,Cytotoxic and regulatory T-cell molecule (Class-I MHC-restricted T-cell-associated molecule) (CD antigen CD355),CRTAM,Homo sapiens (Human),393
Q8NI51,CTCFL_HUMAN,reviewed,Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein) (Cancer/testis antigen 27) (CT27) (Zinc finger protein CTCF-T),CTCFL BORIS,Homo sapiens (Human),663
O15194,CTDSL_HUMAN,reviewed,CTD small phosphatase-like protein (CTDSP-like) (EC 3.1.3.16) (Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3) (NIF-like protein) (Nuclear LIM interactor-interacting factor 1) (NLI-interacting factor 1) (Protein YA22) (hYA22) (RBSP3) (Small C-terminal domain phosphatase 3) (SCP3) (Small CTD phosphatase 3),CTDSPL C3orf8 NIF1 NIFL SCP3 YA22,Homo sapiens (Human),276
Q8N668,COMD1_HUMAN,reviewed,COMM domain-containing protein 1 (Protein Murr1),COMMD1 C2orf5 MURR1,Homo sapiens (Human),190
Q6XLA1,CSC2A_HUMAN,reviewed,"Protein CASC2, isoform 3 (Cancer susceptibility candidate gene 2 protein, isoform 3)",CASC2 C10orf5,Homo sapiens (Human),102
P0CG12,CTF8A_HUMAN,reviewed,Chromosome transmission fidelity protein 8 homolog isoform 2 (Decreased expression in renal and prostate cancer protein),CHTF8 DERPC,Homo sapiens (Human),524
O60519,CRBL2_HUMAN,reviewed,cAMP-responsive element-binding protein-like 2,CREBL2,Homo sapiens (Human),120
Q96S65,CSRN1_HUMAN,reviewed,Cysteine/serine-rich nuclear protein 1 (CSRNP-1) (Axin-1 up-regulated gene 1 protein) (Protein URAX1) (TGF-beta-induced apoptosis protein 3) (TAIP-3),CSRNP1 AXUD1 TAIP3,Homo sapiens (Human),589
Q96PZ7,CSMD1_HUMAN,reviewed,CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1),CSMD1 KIAA1890 UNQ5952/PRO19863,Homo sapiens (Human),3565
Q92905,CSN5_HUMAN,reviewed,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1),COPS5 CSN5 JAB1,Homo sapiens (Human),334
P68400,CSK21_HUMAN,reviewed,Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1),CSNK2A1 CK2A1,Homo sapiens (Human),391
Q8NEV1,CSK23_HUMAN,reviewed,Casein kinase II subunit alpha 3 (CK II alpha 3) (EC 2.7.11.1) (Casein kinase II alpha 1 polypeptide pseudogene),CSNK2A3 CSNK2A1P,Homo sapiens (Human),391
P23508,CRCM_HUMAN,reviewed,Colorectal mutant cancer protein (Protein MCC),MCC,Homo sapiens (Human),829
O43889,CREB3_HUMAN,reviewed,Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)],CREB3 LZIP,Homo sapiens (Human),395
P49711,CTCF_HUMAN,reviewed,Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog),CTCF,Homo sapiens (Human),727
Q92841,DDX17_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72),DDX17,Homo sapiens (Human),729
Q13617,CUL2_HUMAN,reviewed,Cullin-2 (CUL-2),CUL2,Homo sapiens (Human),745
P53355,DAPK1_HUMAN,reviewed,Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1),DAPK1 DAPK,Homo sapiens (Human),1430
P43146,DCC_HUMAN,reviewed,Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC),DCC IGDCC1,Homo sapiens (Human),1447
Q99708,CTIP_HUMAN,reviewed,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),RBBP8 CTIP,Homo sapiens (Human),897
P98082,DAB2_HUMAN,reviewed,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),DAB2 DOC2,Homo sapiens (Human),770
O43293,DAPK3_HUMAN,reviewed,Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase),DAPK3 ZIPK,Homo sapiens (Human),454
Q9UER7,DAXX_HUMAN,reviewed,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),DAXX BING2 DAP6,Homo sapiens (Human),740
Q9NQC7,CYLD_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD),CYLD CYLD1 KIAA0849 HSPC057,Homo sapiens (Human),956
Q9NX09,DDIT4_HUMAN,reviewed,DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1),DDIT4 REDD1 RTP801,Homo sapiens (Human),232
O00571,DDX3X_HUMAN,reviewed,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,Homo sapiens (Human),662
O95786,DDX58_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),DDX58,Homo sapiens (Human),925
Q5VWQ8,DAB2P_HUMAN,reviewed,Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein),DAB2IP AF9Q34 AIP1 KIAA1743,Homo sapiens (Human),1189
Q9UBU7,DBF4A_HUMAN,reviewed,Protein DBF4 homolog A (Activator of S phase kinase) (Chiffon homolog A) (DBF4-type zinc finger-containing protein 1),DBF4 ASK DBF4A ZDBF1,Homo sapiens (Human),674
Q8IYB7,DI3L2_HUMAN,reviewed,DIS3-like exonuclease 2 (hDIS3L2) (EC 3.1.13.-),DIS3L2 FAM6A,Homo sapiens (Human),885
O95661,DIRA3_HUMAN,reviewed,GTP-binding protein Di-Ras3 (Distinct subgroup of the Ras family member 3) (Rho-related GTP-binding protein RhoI),DIRAS3 ARHI NOEY2 RHOI,Homo sapiens (Human),229
Q9Y238,DLEC1_HUMAN,reviewed,Deleted in lung and esophageal cancer protein 1 (Deleted in lung cancer protein 1) (DLC-1),DLEC1 DLC1,Homo sapiens (Human),1755
Q12959,DLG1_HUMAN,reviewed,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg),DLG1,Homo sapiens (Human),904
O95057,DIRA1_HUMAN,reviewed,GTP-binding protein Di-Ras1 (Distinct subgroup of the Ras family member 1) (Ras-related inhibitor of cell growth) (Rig) (Small GTP-binding tumor suppressor 1),DIRAS1 GBTS1 RIG,Homo sapiens (Human),198
O75140,DEPD5_HUMAN,reviewed,GATOR complex protein DEPDC5 (DEP domain-containing protein 5),DEPDC5 KIAA0645,Homo sapiens (Human),1603
Q86YH6,DLP1_HUMAN,reviewed,Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Candidate tumor suppressor protein) (Decaprenyl pyrophosphate synthase subunit 2),PDSS2 C6orf210 DLP1,Homo sapiens (Human),399
Q9UGM3,DMBT1_HUMAN,reviewed,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),DMBT1 GP340,Homo sapiens (Human),2413
Q92796,DLG3_HUMAN,reviewed,Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR),DLG3 KIAA1232,Homo sapiens (Human),817
P78352,DLG4_HUMAN,reviewed,Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90),DLG4 PSD95,Homo sapiens (Human),724
Q9P2X7,DEC1_HUMAN,reviewed,Deleted in esophageal cancer 1 (Candidate tumor suppressor CTS9),DEC1 CTS9,Homo sapiens (Human),70
Q9Y5R6,DMRT1_HUMAN,reviewed,Doublesex- and mab-3-related transcription factor 1 (DM domain expressed in testis protein 1),DMRT1 DMT1,Homo sapiens (Human),373
Q9Y222,DMTF1_HUMAN,reviewed,Cyclin-D-binding Myb-like transcription factor 1 (hDMTF1) (Cyclin-D-interacting Myb-like protein 1) (hDMP1),DMTF1 DMP1,Homo sapiens (Human),760
Q16531,DDB1_HUMAN,reviewed,DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe),DDB1 XAP1,Homo sapiens (Human),1140
Q96D03,DDT4L_HUMAN,reviewed,DNA damage-inducible transcript 4-like protein (HIF-1 responsive protein RTP801-like) (Protein regulated in development and DNA damage response 2) (REDD-2),DDIT4L REDD2 RTP801L,Homo sapiens (Human),193
Q08495,DEMA_HUMAN,reviewed,Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9),DMTN DMT EPB49,Homo sapiens (Human),405
O60443,DFNA5_HUMAN,reviewed,Non-syndromic hearing impairment protein 5 (Inversely correlated with estrogen receptor expression 1) (ICERE-1),DFNA5 ICERE1,Homo sapiens (Human),496
P17844,DDX5_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68),DDX5 G17P1 HELR HLR1,Homo sapiens (Human),614
Q9BY84,DUS16_HUMAN,reviewed,Dual specificity protein phosphatase 16 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 7) (MAP kinase phosphatase 7) (MKP-7),DUSP16 KIAA1700 MKP7,Homo sapiens (Human),665
Q9BTC0,DIDO1_HUMAN,reviewed,Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1),DIDO1 C20orf158 DATF1 KIAA0333,Homo sapiens (Human),2240
Q8NF50,DOCK8_HUMAN,reviewed,Dedicator of cytokinesis protein 8,DOCK8,Homo sapiens (Human),2099
Q9NPF5,DMAP1_HUMAN,reviewed,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),DMAP1 KIAA1425,Homo sapiens (Human),467
P26358,DNMT1_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT),DNMT1 AIM CXXC9 DNMT,Homo sapiens (Human),1616
Q9BZG8,DPH1_HUMAN,reviewed,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (Ovarian cancer-associated gene 1 protein) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1),DPH1 DPH2L DPH2L1 OVCA1,Homo sapiens (Human),443
Q96EY1,DNJA3_HUMAN,reviewed,"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)",DNAJA3 HCA57 TID1,Homo sapiens (Human),480
O76075,DFFB_HUMAN,reviewed,DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40),DFFB CAD DFF2 DFF40,Homo sapiens (Human),338
Q92997,DVL3_HUMAN,reviewed,Segment polarity protein dishevelled homolog DVL-3 (Dishevelled-3) (DSH homolog 3),DVL3 KIAA0208,Homo sapiens (Human),716
O14681,EI24_HUMAN,reviewed,Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein),EI24 PIG8,Homo sapiens (Human),340
Q96CJ1,EAF2_HUMAN,reviewed,ELL-associated factor 2 (Testosterone-regulated apoptosis inducer and tumor suppressor protein),EAF2 TRAITS BM-040,Homo sapiens (Human),260
Q01094,E2F1_HUMAN,reviewed,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),E2F1 RBBP3,Homo sapiens (Human),437
Q14209,E2F2_HUMAN,reviewed,Transcription factor E2F2 (E2F-2),E2F2,Homo sapiens (Human),437
Q66K89,E4F1_HUMAN,reviewed,Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F),E4F1 E4F,Homo sapiens (Human),784
Q9Y2J2,E41L3_HUMAN,reviewed,"Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]",EPB41L3 DAL1 KIAA0987,Homo sapiens (Human),1087
P20827,EFNA1_HUMAN,reviewed,"Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form]",EFNA1 EPLG1 LERK1 TNFAIP4,Homo sapiens (Human),205
Q9H9B1,EHMT1_HUMAN,reviewed,Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.43) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D),EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D,Homo sapiens (Human),1298
Q9NZC4,EHF_HUMAN,reviewed,ETS homologous factor (hEHF) (ETS domain-containing transcription factor) (Epithelium-specific Ets transcription factor 3) (ESE-3),EHF ESE3 ESE3B ESEJ,Homo sapiens (Human),300
Q96KQ7,EHMT2_HUMAN,reviewed,Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.43) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a),EHMT2 BAT8 C6orf30 G9A KMT1C NG36,Homo sapiens (Human),1210
Q00013,EM55_HUMAN,reviewed,"55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)",MPP1 DXS552E EMP55,Homo sapiens (Human),466
Q9HAF1,EAF6_HUMAN,reviewed,Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog) (hEAF6) (Sarcoma antigen NY-SAR-91),MEAF6 C1orf149 CENP-28 EAF6,Homo sapiens (Human),191
P06733,ENOA_HUMAN,reviewed,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,Homo sapiens (Human),434
Q9H2F5,EPC1_HUMAN,reviewed,Enhancer of polycomb homolog 1,EPC1,Homo sapiens (Human),836
Q9GZT9,EGLN1_HUMAN,reviewed,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),EGLN1 C1orf12 PNAS-118 PNAS-137,Homo sapiens (Human),426
P60228,EIF3E_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48),EIF3E EIF3S6 INT6,Homo sapiens (Human),445
Q15370,ELOB_HUMAN,reviewed,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),ELOB TCEB2,Homo sapiens (Human),118
P12544,GRAA_HUMAN,reviewed,Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF),GZMA CTLA3 HFSP,Homo sapiens (Human),262
Q8IYU2,HACE1_HUMAN,reviewed,E3 ubiquitin-protein ligase HACE1 (EC 2.3.2.26) (HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1) (HECT-type E3 ubiquitin transferase HACE1),HACE1 KIAA1320,Homo sapiens (Human),909
Q8WUI4,HDAC7_HUMAN,reviewed,Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a),HDAC7 HDAC7A,Homo sapiens (Human),952
Q13547,HDAC1_HUMAN,reviewed,Histone deacetylase 1 (HD1) (EC 3.5.1.98),HDAC1 RPD3L1,Homo sapiens (Human),482
Q9UGL1,KDM5B_HUMAN,reviewed,Lysine-specific demethylase 5B (EC 1.14.11.-) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1),KDM5B JARID1B PLU1 RBBP2H1,Homo sapiens (Human),1544
Q05655,KPCD_HUMAN,reviewed,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],PRKCD,Homo sapiens (Human),676
Q6P1M3,L2GL2_HUMAN,reviewed,Lethal(2) giant larvae protein homolog 2 (HGL),LLGL2,Homo sapiens (Human),1020
Q92993,KAT5_HUMAN,reviewed,Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (cPLA(2)-interacting protein),KAT5 HTATIP TIP60,Homo sapiens (Human),513
Q9NQT8,KI13B_HUMAN,reviewed,Kinesin-like protein KIF13B (Kinesin-like protein GAKIN),KIF13B GAKIN KIAA0639,Homo sapiens (Human),1826
Q8IX03,KIBRA_HUMAN,reviewed,Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1),WWC1 KIAA0869,Homo sapiens (Human),1113
O43240,KLK10_HUMAN,reviewed,Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1),KLK10 NES1 PRSSL1,Homo sapiens (Human),276
Q9P272,K1456_HUMAN,reviewed,Probable tRNA methyltransferase 9-like protein (TRM9L) (EC 2.1.1.-),KIAA1456 C8orf79,Homo sapiens (Human),454
Q15726,KISS1_HUMAN,reviewed,Metastasis-suppressor KiSS-1 (Kisspeptin-1) [Cleaved into: Metastin (Kisspeptin-54); Kisspeptin-14; Kisspeptin-13; Kisspeptin-10],KISS1 PP5098,Homo sapiens (Human),138
O43474,KLF4_HUMAN,reviewed,Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor),KLF4 EZF GKLF,Homo sapiens (Human),513
P14618,KPYM_HUMAN,reviewed,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58),PKM OIP3 PK2 PK3 PKM2,Homo sapiens (Human),531
Q7LBC6,KDM3B_HUMAN,reviewed,Lysine-specific demethylase 3B (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA),KDM3B C5orf7 JHDM2B JMJD1B KIAA1082,Homo sapiens (Human),1761
Q99612,KLF6_HUMAN,reviewed,Krueppel-like factor 6 (B-cell-derived protein 1) (Core promoter element-binding protein) (GC-rich sites-binding factor GBF) (Proto-oncogene BCD1) (Suppressor of tumorigenicity 12 protein) (Transcription factor Zf9),KLF6 BCD1 COPEB CPBP ST12,Homo sapiens (Human),283
Q14678,KANK1_HUMAN,reviewed,KN motif and ankyrin repeat domain-containing protein 1 (Ankyrin repeat domain-containing protein 15) (Kidney ankyrin repeat-containing protein),KANK1 ANKRD15 KANK KIAA0172,Homo sapiens (Human),1352
Q693B1,KCD11_HUMAN,reviewed,BTB/POZ domain-containing protein KCTD11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase KCTD11),KCTD11 C17orf36 REN,Homo sapiens (Human),232
O60333,KIF1B_HUMAN,reviewed,Kinesin-like protein KIF1B (Klp),KIF1B KIAA0591 KIAA1448,Homo sapiens (Human),1816
Q09472,EP300_HUMAN,reviewed,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300),EP300 P300,Homo sapiens (Human),2414
Q15369,ELOC_HUMAN,reviewed,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),ELOC TCEB1,Homo sapiens (Human),112
Q9UJM3,ERRFI_HUMAN,reviewed,ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6),ERRFI1 MIG6,Homo sapiens (Human),462
P29323,EPHB2_HUMAN,reviewed,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3),EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Homo sapiens (Human),1055
Q8NFI4,F10A5_HUMAN,reviewed,Putative protein FAM10A5 (Suppression of tumorigenicity 13 pseudogene 5),ST13P5 FAM10A5,Homo sapiens (Human),369
P03372,ESR1_HUMAN,reviewed,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),ESR1 ESR NR3A1,Homo sapiens (Human),595
P50502,F10A1_HUMAN,reviewed,Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein),ST13 AAG2 FAM10A1 HIP SNC6,Homo sapiens (Human),369
Q92731,ESR2_HUMAN,reviewed,Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2),ESR2 ESTRB NR3A2,Homo sapiens (Human),530
O15287,FANCG_HUMAN,reviewed,Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9),FANCG XRCC9,Homo sapiens (Human),622
Q8TDW7,FAT3_HUMAN,reviewed,Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3),FAT3 CDHF15 KIAA1989,Homo sapiens (Human),4589
Q8IYD8,FANCM_HUMAN,reviewed,Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog),FANCM KIAA1596,Homo sapiens (Human),2048
