Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q5TB30,DEP1A_HUMAN,reviewed,DEP domain-containing protein 1A,DEPDC1 DEPDC1A,Homo sapiens (Human),811
Q9UBU2,DKK2_HUMAN,reviewed,Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (hDkk-2),DKK2 UNQ682/PRO1316,Homo sapiens (Human),259
Q9NPF5,DMAP1_HUMAN,reviewed,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),DMAP1 KIAA1425,Homo sapiens (Human),467
Q9BZG8,DPH1_HUMAN,reviewed,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (Ovarian cancer-associated gene 1 protein) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1),DPH1 DPH2L DPH2L1 OVCA1,Homo sapiens (Human),443
Q15398,DLGP5_HUMAN,reviewed,Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP),DLGAP5 DLG7 KIAA0008,Homo sapiens (Human),846
Q9Y6W6,DUS10_HUMAN,reviewed,Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5),DUSP10 MKP5,Homo sapiens (Human),482
O00716,E2F3_HUMAN,reviewed,Transcription factor E2F3 (E2F-3),E2F3 KIAA0075,Homo sapiens (Human),465
Q06889,EGR3_HUMAN,reviewed,Early growth response protein 3 (EGR-3) (Zinc finger protein pilot),EGR3 PILOT,Homo sapiens (Human),387
O14681,EI24_HUMAN,reviewed,Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein),EI24 PIG8,Homo sapiens (Human),340
Q9BV47,DUS26_HUMAN,reviewed,Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer),DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3,Homo sapiens (Human),211
Q16829,DUS7_HUMAN,reviewed,Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST2),DUSP7 PYST2,Homo sapiens (Human),419
Q01094,E2F1_HUMAN,reviewed,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),E2F1 RBBP3,Homo sapiens (Human),437
A0AVK6,E2F8_HUMAN,reviewed,Transcription factor E2F8 (E2F-8),E2F8,Homo sapiens (Human),867
P52798,EFNA4_HUMAN,reviewed,Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4),EFNA4 EPLG4 LERK4,Homo sapiens (Human),201
Q9P2X0,DPM3_HUMAN,reviewed,Dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3) (Prostin-1),DPM3,Homo sapiens (Human),92
Q14209,E2F2_HUMAN,reviewed,Transcription factor E2F2 (E2F-2),E2F2,Homo sapiens (Human),437
Q96AV8,E2F7_HUMAN,reviewed,Transcription factor E2F7 (E2F-7),E2F7,Homo sapiens (Human),911
O75461,E2F6_HUMAN,reviewed,Transcription factor E2F6 (E2F-6),E2F6,Homo sapiens (Human),281
Q66K89,E4F1_HUMAN,reviewed,Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F),E4F1 E4F,Homo sapiens (Human),784
Q008S8,ECT2L_HUMAN,reviewed,Epithelial cell-transforming sequence 2 oncogene-like (Lung-specific F-box and DH domain-containing protein) (Putative guanine nucleotide exchange factor LFDH),ECT2L C6orf91 LFDH,Homo sapiens (Human),904
Q9Y2J2,E41L3_HUMAN,reviewed,"Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]",EPB41L3 DAL1 KIAA0987,Homo sapiens (Human),1087
Q15768,EFNB3_HUMAN,reviewed,Ephrin-B3 (EPH-related receptor transmembrane ligand ELK-L3) (EPH-related receptor tyrosine kinase ligand 8) (LERK-8),EFNB3 EPLG8 LERK8,Homo sapiens (Human),340
Q9NVF9,EKI2_HUMAN,reviewed,Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein),ETNK2 EKI2 HMFT1716,Homo sapiens (Human),386
P20827,EFNA1_HUMAN,reviewed,"Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form]",EFNA1 EPLG1 LERK1 TNFAIP4,Homo sapiens (Human),205
P52797,EFNA3_HUMAN,reviewed,Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3),EFNA3 EFL2 EPLG3 LERK3,Homo sapiens (Human),238
Q96KS0,EGLN2_HUMAN,reviewed,Egl nine homolog 2 (EC 1.14.11.29) (Estrogen-induced tag 6) (HPH-3) (Hypoxia-inducible factor prolyl hydroxylase 1) (HIF-PH1) (HIF-prolyl hydroxylase 1) (HPH-1) (Prolyl hydroxylase domain-containing protein 1) (PHD1),EGLN2 EIT6,Homo sapiens (Human),407
P19419,ELK1_HUMAN,reviewed,ETS domain-containing protein Elk-1,ELK1,Homo sapiens (Human),428
Q9UKG1,DP13A_HUMAN,reviewed,"DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)",APPL1 APPL DIP13A KIAA1428,Homo sapiens (Human),709
O43281,EFS_HUMAN,reviewed,Embryonal Fyn-associated substrate (hEFS) (Cas scaffolding protein family member 3),EFS CASS3,Homo sapiens (Human),561
Q9NZC4,EHF_HUMAN,reviewed,ETS homologous factor (hEHF) (ETS domain-containing transcription factor) (Epithelium-specific Ets transcription factor 3) (ESE-3),EHF ESE3 ESE3B ESEJ,Homo sapiens (Human),300
P61565,ENK21_HUMAN,reviewed,Endogenous retrovirus group K member 21 Env polyprotein (EnvK1 protein) (Envelope polyprotein) (HERV-K_12q14.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-21,Homo sapiens (Human),698
Q902F9,EN113_HUMAN,reviewed,Endogenous retrovirus group K member 113 Env polyprotein (EnvK5 protein) (Envelope polyprotein) (HERV-K113 envelope protein) (HERV-K_19p13.11 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],HERVK_113,Homo sapiens (Human),699
Q12929,EPS8_HUMAN,reviewed,Epidermal growth factor receptor kinase substrate 8,EPS8,Homo sapiens (Human),822
Q9H2F5,EPC1_HUMAN,reviewed,Enhancer of polycomb homolog 1,EPC1,Homo sapiens (Human),836
P54764,EPHA4_HUMAN,reviewed,Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK),EPHA4 HEK8 SEK TYRO1,Homo sapiens (Human),986
Q9GZT9,EGLN1_HUMAN,reviewed,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),EGLN1 C1orf12 PNAS-118 PNAS-137,Homo sapiens (Human),426
P60228,EIF3E_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48),EIF3E EIF3S6 INT6,Homo sapiens (Human),445
Q99607,ELF4_HUMAN,reviewed,ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor),ELF4 ELFR MEF,Homo sapiens (Human),663
Q9H8V3,ECT2_HUMAN,reviewed,Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene),ECT2,Homo sapiens (Human),914
P55199,ELL_HUMAN,reviewed,RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein),ELL C19orf17,Homo sapiens (Human),621
P78545,ELF3_HUMAN,reviewed,ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1),ELF3 ERT ESX JEN,Homo sapiens (Human),371
P49915,GUAA_HUMAN,reviewed,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),GMPS,Homo sapiens (Human),693
Q9BQ67,GRWD1_HUMAN,reviewed,Glutamate-rich WD repeat-containing protein 1,GRWD1 GRWD KIAA1942 WDR28,Homo sapiens (Human),446
Q13588,GRAP_HUMAN,reviewed,GRB2-related adapter protein,GRAP,Homo sapiens (Human),217
Q14451,GRB7_HUMAN,reviewed,Growth factor receptor-bound protein 7 (B47) (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein),GRB7,Homo sapiens (Human),532
Q6AI08,HEAT6_HUMAN,reviewed,HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1),HEATR6 ABC1,Homo sapiens (Human),1181
P08631,HCK_HUMAN,reviewed,Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck),HCK,Homo sapiens (Human),526
Q13547,HDAC1_HUMAN,reviewed,Histone deacetylase 1 (HD1) (EC 3.5.1.98),HDAC1 RPD3L1,Homo sapiens (Human),482
Q05655,KPCD_HUMAN,reviewed,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],PRKCD,Homo sapiens (Human),676
Q92993,KAT5_HUMAN,reviewed,Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (cPLA(2)-interacting protein),KAT5 HTATIP TIP60,Homo sapiens (Human),513
Q07666,KHDR1_HUMAN,reviewed,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDRBS1 SAM68,Homo sapiens (Human),443
Q96Q89,KI20B_HUMAN,reviewed,Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1),KIF20B KRMP1 MPHOSPH1,Homo sapiens (Human),1820
Q13887,KLF5_HUMAN,reviewed,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),KLF5 BTEB2 CKLF IKLF,Homo sapiens (Human),457
O14686,KMT2D_HUMAN,reviewed,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.43) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),KMT2D ALR MLL2 MLL4,Homo sapiens (Human),5537
P78368,KC1G2_HUMAN,reviewed,Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1),CSNK1G2 CK1G2,Homo sapiens (Human),415
O43240,KLK10_HUMAN,reviewed,Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1),KLK10 NES1 PRSSL1,Homo sapiens (Human),276
Q9UMN6,KMT2B_HUMAN,reviewed,Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.43) (Myeloid/lymphoid or mixed-lineage leukemia protein 4) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7),KMT2B HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7,Homo sapiens (Human),2715
P24723,KPCL_HUMAN,reviewed,Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta),PRKCH PKCL PRKCL,Homo sapiens (Human),683
Q86VZ6,JAZF1_HUMAN,reviewed,Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802),JAZF1 TIP27 ZNF802,Homo sapiens (Human),243
P29375,KDM5A_HUMAN,reviewed,Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2),KDM5A JARID1A RBBP2 RBP2,Homo sapiens (Human),1690
Q96ST2,IWS1_HUMAN,reviewed,Protein IWS1 homolog (IWS1-like protein),IWS1 IWS1L,Homo sapiens (Human),819
Q92830,KAT2A_HUMAN,reviewed,Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (HsGCN5) (Lysine acetyltransferase 2A) (STAF97),KAT2A GCN5 GCN5L2 HGCN5,Homo sapiens (Human),837
Q16566,KCC4_HUMAN,reviewed,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),CAMK4 CAMK CAMK-GR CAMKIV,Homo sapiens (Human),473
Q09470,KCNA1_HUMAN,reviewed,Potassium voltage-gated channel subfamily A member 1 (Voltage-gated K(+) channel HuKI) (Voltage-gated potassium channel HBK1) (Voltage-gated potassium channel subunit Kv1.1),KCNA1,Homo sapiens (Human),495
Q06136,KDSR_HUMAN,reviewed,3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1),KDSR FVT1 SDR35C1,Homo sapiens (Human),332
Q15726,KISS1_HUMAN,reviewed,Metastasis-suppressor KiSS-1 (Kisspeptin-1) [Cleaved into: Metastin (Kisspeptin-54); Kisspeptin-14; Kisspeptin-13; Kisspeptin-10],KISS1 PP5098,Homo sapiens (Human),138
O43474,KLF4_HUMAN,reviewed,Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor),KLF4 EZF GKLF,Homo sapiens (Human),513
P14618,KPYM_HUMAN,reviewed,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58),PKM OIP3 PK2 PK3 PKM2,Homo sapiens (Human),531
P23458,JAK1_HUMAN,reviewed,Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1),JAK1 JAK1A JAK1B,Homo sapiens (Human),1154
O60674,JAK2_HUMAN,reviewed,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),JAK2,Homo sapiens (Human),1132
O60271,JIP4_HUMAN,reviewed,C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1),SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6,Homo sapiens (Human),1321
P49674,KC1E_HUMAN,reviewed,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),CSNK1E,Homo sapiens (Human),416
Q14807,KIF22_HUMAN,reviewed,Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4),KIF22 KID KNSL4,Homo sapiens (Human),665
O60341,KDM1A_HUMAN,reviewed,Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2),KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens (Human),852
Q7LBC6,KDM3B_HUMAN,reviewed,Lysine-specific demethylase 3B (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA),KDM3B C5orf7 JHDM2B JMJD1B KIAA1082,Homo sapiens (Human),1761
Q99612,KLF6_HUMAN,reviewed,Krueppel-like factor 6 (B-cell-derived protein 1) (Core promoter element-binding protein) (GC-rich sites-binding factor GBF) (Proto-oncogene BCD1) (Suppressor of tumorigenicity 12 protein) (Transcription factor Zf9),KLF6 BCD1 COPEB CPBP ST12,Homo sapiens (Human),283
O75582,KS6A5_HUMAN,reviewed,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),RPS6KA5 MSK1,Homo sapiens (Human),802
Q14678,KANK1_HUMAN,reviewed,KN motif and ankyrin repeat domain-containing protein 1 (Ankyrin repeat domain-containing protein 15) (Kidney ankyrin repeat-containing protein),KANK1 ANKRD15 KANK KIAA0172,Homo sapiens (Human),1352
Q693B1,KCD11_HUMAN,reviewed,BTB/POZ domain-containing protein KCTD11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase KCTD11),KCTD11 C17orf36 REN,Homo sapiens (Human),232
O60333,KIF1B_HUMAN,reviewed,Kinesin-like protein KIF1B (Klp),KIF1B KIAA0591 KIAA1448,Homo sapiens (Human),1816
P54851,EMP2_HUMAN,reviewed,Epithelial membrane protein 2 (EMP-2) (Protein XMP),EMP2 XMP,Homo sapiens (Human),167
O71037,ENK19_HUMAN,reviewed,Endogenous retrovirus group K member 19 Env polyprotein (EnvK3 protein) (Envelope polyprotein) (HERV-K(C19) envelope protein) (HERV-K_19q11 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-19,Homo sapiens (Human),699
P61567,ENK7_HUMAN,reviewed,Endogenous retrovirus group K member 7 Env polyprotein (Envelope polyprotein) (HERV-K(III) envelope protein) (HERV-K102 envelope protein) (HERV-K_1q22 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-7,Homo sapiens (Human),588
Q9UKH3,ENK9_HUMAN,reviewed,Endogenous retrovirus group K member 9 Env polyprotein (EnvK4 protein) (Envelope polyprotein) (HERV-K(C6) envelope protein) (HERV-K109 envelope protein) (HERV-K_6q14.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-9,Homo sapiens (Human),698
Q9Y6I3,EPN1_HUMAN,reviewed,Epsin-1 (EH domain-binding mitotic phosphoprotein) (EPS-15-interacting protein 1),EPN1,Homo sapiens (Human),576
P15036,ETS2_HUMAN,reviewed,Protein C-ets-2,ETS2,Homo sapiens (Human),469
Q03112,EVI1_HUMAN,reviewed,MDS1 and EVI1 complex locus protein EVI1 (Ecotropic virus integration site 1 protein homolog) (EVI-1),MECOM EVI1,Homo sapiens (Human),1051
P61566,ENK24_HUMAN,reviewed,Endogenous retrovirus group K member 24 Env polyprotein (Envelope polyprotein) (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-24,Homo sapiens (Human),588
Q69384,ENK6_HUMAN,reviewed,Endogenous retrovirus group K member 6 Env polyprotein (EnvK2 protein) (Envelope polyprotein) (HERV-K(C7) envelope protein) (HERV-K(HML-2.HOM) envelope protein) (HERV-K108 envelope protein) (HERV-K_7p22.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-6 ERVK6,Homo sapiens (Human),699
Q09472,EP300_HUMAN,reviewed,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300),EP300 P300,Homo sapiens (Human),2414
P14921,ETS1_HUMAN,reviewed,Protein C-ets-1 (p54),ETS1 EWSR2,Homo sapiens (Human),441
Q9UKW6,ELF5_HUMAN,reviewed,ETS-related transcription factor Elf-5 (E74-like factor 5) (Epithelium-restricted ESE-1-related Ets factor) (Epithelium-specific Ets transcription factor 2) (ESE-2),ELF5 ESE2,Homo sapiens (Human),265
Q15369,ELOC_HUMAN,reviewed,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),ELOC TCEB1,Homo sapiens (Human),112
O42043,ENK18_HUMAN,reviewed,"Endogenous retrovirus group K member 18 Env polyprotein (Envelope polyprotein) (HERV-K(C1a) envelope protein) (HERV-K110 envelope protein) (HERV-K18 envelope protein) (HERV-K18 superantigen) (HERV-K_1q23.3 provirus ancestral Env polyprotein) (IDDMK1,2 22 envelope protein) (IDDMK1,2 22 superantigen) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]",ERVK-18,Homo sapiens (Human),560
Q9HDB8,ENK5_HUMAN,reviewed,Endogenous retrovirus group K member 5 Env polyprotein (Envelope polyprotein) (HERV-K(II) envelope protein) (HERV-K_3q12.3 provirus ancestral Env polyprotein) [Includes: Truncated surface protein (SU)],ERVK-5 ERVK5,Homo sapiens (Human),245
Q902F8,ENK8_HUMAN,reviewed,Endogenous retrovirus group K member 8 Env polyprotein (EnvK6 protein) (Envelope polyprotein) (HERV-K115 envelope protein) (HERV-K_8p23.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],ERVK-8,Homo sapiens (Human),699
P16422,EPCAM_HUMAN,reviewed,Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1,Homo sapiens (Human),314
P29317,EPHA2_HUMAN,reviewed,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK),EPHA2 ECK,Homo sapiens (Human),976
P29322,EPHA8_HUMAN,reviewed,Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK),EPHA8 EEK HEK3 KIAA1459,Homo sapiens (Human),1005
Q9UJM3,ERRFI_HUMAN,reviewed,ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6),ERRFI1 MIG6,Homo sapiens (Human),462
P41212,ETV6_HUMAN,reviewed,Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel),ETV6 TEL TEL1,Homo sapiens (Human),452
Q03111,ENL_HUMAN,reviewed,Protein ENL (YEATS domain-containing protein 1),MLLT1 ENL LTG19 YEATS1,Homo sapiens (Human),559
P54753,EPHB3_HUMAN,reviewed,Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6),EPHB3 ETK2 HEK2 TYRO6,Homo sapiens (Human),998
P50549,ETV1_HUMAN,reviewed,ETS translocation variant 1 (Ets-related protein 81),ETV1 ER81,Homo sapiens (Human),477
O75356,ENTP5_HUMAN,reviewed,Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5),ENTPD5 CD39L4 PCPH,Homo sapiens (Human),428
P29323,EPHB2_HUMAN,reviewed,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3),EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Homo sapiens (Human),1055
O15197,EPHB6_HUMAN,reviewed,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),EPHB6,Homo sapiens (Human),1021
P24390,ERD21_HUMAN,reviewed,ER lumen protein-retaining receptor 1 (KDEL endoplasmic reticulum protein retention receptor 1) (KDEL receptor 1) (Putative MAPK-activating protein PM23),KDELR1 ERD2.1,Homo sapiens (Human),212
P34910,EVI2B_HUMAN,reviewed,Protein EVI2B (Ecotropic viral integration site 2B protein homolog) (EVI-2B) (CD antigen CD361),EVI2B EVDB,Homo sapiens (Human),448
Q86UY5,FA83A_HUMAN,reviewed,Protein FAM83A (Tumor antigen BJ-TSA-9) (Tumor-specific gene expressed in prostate protein),FAM83A TSGP,Homo sapiens (Human),434
P50548,ERF_HUMAN,reviewed,ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2),ERF,Homo sapiens (Human),548
Q9UQ84,EXO1_HUMAN,reviewed,Exonuclease 1 (hExo1) (EC 3.1.-.-) (Exonuclease I) (hExoI),EXO1 EXOI HEX1,Homo sapiens (Human),846
Q16394,EXT1_HUMAN,reviewed,Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1),EXT1,Homo sapiens (Human),746
Q9BXW9,FACD2_HUMAN,reviewed,Fanconi anemia group D2 protein (Protein FACD2),FANCD2 FACD,Homo sapiens (Human),1451
O14944,EREG_HUMAN,reviewed,Proepiregulin [Cleaved into: Epiregulin (EPR)],EREG,Homo sapiens (Human),169
P11308,ERG_HUMAN,reviewed,Transcriptional regulator ERG (Transforming protein ERG),ERG,Homo sapiens (Human),486
P03372,ESR1_HUMAN,reviewed,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),ESR1 ESR NR3A1,Homo sapiens (Human),595
Q8N693,ESX1_HUMAN,reviewed,"Homeobox protein ESX1 (Extraembryonic, spermatogenesis, homeobox 1) [Cleaved into: Homeobox protein ESX1-N; Homeobox protein ESX1-C]",ESX1 ESX1L ESX1R,Homo sapiens (Human),406
